p_ar_mois,p_ar_vol,p_ar_ash,p_ar_fc,p_ar_sul,p_ar_hhv,p_ar_lhv,u_ar_nit
29.55,26.83,28,15.62,3.31,2776.572,2491.433,1.076
30.3,27.38,26.52,15.8,3.155,2854.033,2565.798,1.134
29.46,26.84,28.11,15.59,3.055,2771.774,2487.007,1.115
29.51,26.61,28.67,15.21,3.1,2735.84,2450.866,1.121
30.56,26.13,28.47,14.84,2.787,2682.23,2392.922,1.083
31.01,25.34,27.66,15.99,2.781,2734.215,2443.049,1.072
32.36,25.15,28.07,14.42,2.947,2601.286,2304.547,0.999
31.5,26.58,26.49,15.43,2.971,2743.354,2450.166,1.042
32.53,26.44,25.91,15.12,3.144,2696.94,2399.5,0.993
32.17,26.14,25.38,16.31,2.864,2752.548,2456.594,1.072
31.54,27.19,24.41,16.86,2.885,2910.815,2617.462,1.092
31.73,24.9,30.63,12.74,2.662,2410.229,2116.091,0.992
32.37,25.7,26.34,15.59,2.808,2716.274,2419.494,1.021
32.79,26.03,25.43,15.75,2.743,2774.202,2475.689,1.049
32.79,25.33,27.3,14.58,2.875,2615.418,2316.904,1.025
31.88,26.42,26.4,15.3,2.905,2750.557,2455.8,1.081
31.75,26.38,26.27,15.6,2.911,2770.701,2476.48,1.121
32.46,25.33,27.46,14.75,3.172,2610.625,2313.474,0.947
31.44,25.95,27.1,15.51,2.943,2708.448,2415.507,1.104
31.57,26.12,25.75,16.56,2.958,2815.551,2522.074,1.13
31.55,26.28,26.46,15.71,3.034,2763.307,2469.912,1.11
31.85,25.16,28.02,14.97,2.721,2610.034,2315.401,1.107
31.75,25.88,27.46,14.91,2.717,2665.669,2371.448,1.092
31.54,25.72,30.04,12.7,2.691,2450.038,2156.685,0.999
31.34,27.63,25.1,15.93,3.298,2898.156,2605.628,1.013
32.26,26.3,25.21,16.23,3.052,2838.016,2541.69,1.081
34.94,25.86,26.84,12.36,2.988,2432.629,2125.241,0.909
34.05,25.94,24.22,15.79,2.852,2753.203,2449.488,1.05
34.11,25.43,25.42,15.04,2.761,2647.489,2343.526,1.053
33.58,25.35,25.96,15.11,2.71,2669.241,2367.466,1.022
30.28,24.67,30.45,14.6,3.058,2545.515,2257.362,0.924
33.81,25.59,24.98,15.62,2.803,2732.56,2429.836,1.035
32.32,26.15,27.27,14.26,2.768,2643.357,2346.784,0.999
31.55,25.12,27.12,16.21,2.717,2709.783,2416.388,1.006
30.74,25.42,28.33,15.51,2.893,2701.238,2411.187,1.027
33.82,26.24,27.89,12.05,3.129,2449.889,2147.124,0.907
32.07,26.71,25.5,15.72,2.837,2801.898,2506.356,1.039
31.34,25.47,29.03,14.16,2.859,2545.095,2252.567,1.016
31.4,26.23,27.18,15.19,3.043,2692.514,2399.738,1.057
31.66,26.42,27.74,14.18,3.134,2603.603,2309.754,0.993
32.68,25.91,25.88,15.53,3.013,2717.385,2419.325,1.062
31.53,26.82,25.5,16.15,2.914,2788.68,2495.367,1.045
30.96,25.75,30.58,12.71,3.265,2469.812,2178.853,0.885
29.72,24.5,29.36,16.42,2.985,2703.068,2417.227,1.053
29.08,24.52,29.75,16.65,2.949,2715.19,2431.991,1.055
29.36,25.45,31.32,13.87,3.013,2524.837,2240.483,0.984
27.66,26.81,29.99,15.54,3.064,2753.734,2476.397,1.049
28.84,26.65,29.94,14.57,3.159,2682.173,2399.964,1.024
29.26,26.65,29.1,14.99,3.256,2719.945,2436.003,1.047
29.15,28.3,28.98,13.57,3.22,2707.337,2423.849,0.972
29.31,26.52,29.58,14.59,3.02,2677.807,2393.658,1.007
28.73,24.92,32.75,13.6,2.939,2441.446,2159.691,0.951
28.25,26.39,31.16,14.2,2.994,2605.365,2325.592,0.993
28.83,26.64,28.99,15.54,2.912,2743.516,2461.349,1.017
30.49,27.34,28.26,13.91,3.287,2689.137,2400.118,0.94
29.6,26.39,27.6,16.41,2.995,2852.06,2566.714,1.075
29.94,27,25.04,18.02,3.193,3025.021,2738.272,1.125
31.2,27.23,27.18,14.39,3.161,2727.962,2436.012,1.035
30.88,25.28,29.61,14.23,3.114,2583.257,2292.628,0.984
30.57,26.51,28.92,14,3.287,2633.034,2343.684,0.937
31.46,26.71,26.67,15.16,3.056,2754.954,2461.93,1.031
31.1,24.28,30.08,14.54,3.028,2527.654,2236.117,0.978
30.88,25.84,29.24,14.04,3.503,2632.177,2341.548,0.937
30.88,25.49,28.05,15.58,2.997,2696.858,2406.228,1.04
30.28,25.37,29.11,15.24,2.872,2661.31,2373.157,1.018
31.38,26.92,24.18,17.52,3.094,2979.927,2687.234,1.107
30.11,26.85,27.32,15.72,3.092,2816.437,2528.987,1.093
28.7,25.86,31.4,14.04,3.663,2615.167,2333.536,1
31.52,26.42,27.41,14.65,3.034,2699.44,2406.169,1.077
32.11,25.96,27.35,14.58,2.968,2664.668,2368.961,1.066
30.54,26.1,28.98,14.38,2.952,2645.029,2355.804,1.027
30.77,26,29.04,14.19,2.976,2626.006,2335.831,1.051
31.03,28.02,22.33,18.62,2.692,3072.853,2781.604,1.193
30.76,28.78,23.84,16.62,3.029,2957.276,2667.142,1.134
30.91,29.23,22.07,17.79,2.962,3066.303,2775.55,1.185
30.1,29.74,24.57,15.59,2.965,2844.58,2557.17,1.115
28.91,27.9,27.55,15.64,3.834,2901.913,2619.416,1.134
30.02,26.78,27.35,15.85,2.916,2791.217,2504.138,1.169
30.44,27.34,25.53,16.69,3.03,2903.276,2614.463,1.22
27.71,28.08,28.38,15.83,3.786,2942.394,2664.85,1.074
29.97,26.94,26.59,16.5,2.913,2878.982,2592.109,1.123
30.5,27.09,25.53,16.88,2.853,2904.182,2615.121,1.141
32.84,26.45,26.68,14.03,3.171,2652.011,2353.291,0.978
31.11,25.85,28.1,14.94,2.85,2682.622,2391.044,1.045
31.03,25.75,28.97,14.25,2.903,2608.506,2317.258,1.031
32.09,27.26,27.51,13.14,3.518,2651.01,2355.386,0.999
29.79,26.85,28.57,14.79,2.907,2733.393,2447.263,1.079
29.96,27.26,27.5,15.28,2.885,2788.674,2501.842,1.113
29.77,28.25,25.97,16.01,3.378,2952.019,2665.971,1.1
28.59,27.72,27.32,16.37,3.361,2961.348,2680.172,1.115
29.01,27.48,27.19,16.32,3.421,2953.298,2670.388,1.104
29.36,27.85,28.14,14.65,3.257,2740.374,2456.019,1.051
29.24,27.7,26.31,16.75,3.18,2923.915,2640.056,1.197
28.69,27.88,26.86,16.57,3.206,2926.163,2644.573,1.156
29.44,25.83,31.46,13.27,3.044,2503.871,2219.186,1.021
29.67,25.9,30.66,13.77,3.029,2531.957,2246.322,1.033
31.68,26.33,26.14,15.85,3.134,2800.57,2506.638,1.109
29.77,26.51,30.26,13.46,2.933,2596.697,2310.65,1.043
30.42,26.47,27.67,15.44,3.044,2759.045,2470.314,1.099
27.54,26.23,31.19,15.04,3.187,2669.026,2392.184,1.069
29.24,27.41,28.92,14.43,3.229,2703.285,2419.426,1.078
28.65,28.14,26.97,16.24,3.229,2928.688,2647.264,1.145
29.75,25.48,31.12,13.65,3.145,2532.352,2246.387,1.017
31.52,26.6,28.61,13.27,3.272,2573.43,2280.159,0.97
30.95,26.71,25.79,16.55,3.294,2881.618,2590.7,1.088
30.81,26.51,26.7,15.98,3.378,2824.541,2534.201,1.048
28.58,27.14,28.72,15.56,3.343,2776.726,2495.591,1.215
28.54,27.29,30.09,14.08,3.479,2638.999,2358.029,1.143
28.35,28.32,26.03,17.3,3.227,2994.477,2714.292,1.315
28.47,28.01,25.89,17.63,3.241,3058.35,2777.669,1.15
26.97,26.93,30.89,15.21,3.333,2769.84,2495.351,1.209
28.26,27.42,30.13,14.19,3.298,2717.061,2437.247,1.134
31.14,27.05,25.88,15.93,2.872,2865.556,2573.854,1.143
32.31,26.54,24.79,16.36,2.837,2867.528,2570.996,1.16
28.44,27.98,26.55,17.03,3.752,3008.509,2727.951,1.11
29.91,27.49,26.09,16.51,2.868,2909.964,2623.339,1.145
30.5,27.64,23.99,17.87,2.741,3019.816,2730.756,1.182
30.5,26.33,26.05,17.12,3.121,2845.462,2556.401,1.107
31.52,25.98,26.86,15.64,2.954,2709.182,2415.911,1.063
32.42,26.39,26.78,14.41,2.936,2674.443,2377.457,1.056
31.69,25.55,25.35,17.41,3.046,2871.112,2577.14,1.119
30.63,26.2,27.88,15.29,2.829,2724.189,2434.591,1.079
30.65,26.61,27.44,15.3,2.85,2743.331,2453.652,1.073
30.7,25.72,29.05,14.53,2.908,2635.16,2345.274,1.046
30.26,27.13,27.54,15.07,3.024,2771.913,2483.843,1.084
29.92,26.62,27.27,16.19,2.963,2825.611,2538.945,1.079
31.15,26.27,25.68,16.9,2.827,2860.165,2568.421,1.111
31.58,26.82,25.77,15.83,2.86,2806.466,2512.947,1.095
29,25.24,31.38,14.38,3.389,2590.268,2307.399,1.051
29.49,26.57,29.81,14.13,2.942,2656.691,2371.799,1.043
30.95,25.85,28.51,14.69,2.752,2652.695,2361.776,1.071
30.88,26.33,29.1,13.69,2.814,2597.507,2306.878,1.041
31.87,25.16,28.85,14.12,2.891,2562.836,2268.12,1.017
30.64,25.23,30.13,14,3.271,2566.899,2277.26,0.968
31.59,25.44,28.66,14.31,2.859,2591.444,2297.884,1.038
31.96,25.97,27.46,14.61,2.8,2659.327,2364.239,1.056
33.21,23.65,28.25,14.89,3.334,2530.134,2229.887,0.99
32.41,24.51,25.9,17.18,2.96,2759.579,2462.634,1.076
32.5,24.74,26.45,16.31,2.994,2720.843,2423.526,1.063
32.24,24.68,27.01,16.07,3.05,2698.242,2401.999,1.055
29.59,25.9,30.19,14.32,3.102,2593.046,2307.741,1.023
29.29,25.03,27.97,17.71,2.801,2822.45,2538.384,1.13
30.58,25.24,29.72,14.46,3.013,2576.408,2287.018,1.026
30.86,26.38,26.87,15.89,2.936,2783.392,2492.845,1.072
31.11,26.77,26.35,15.77,2.944,2792.431,2500.853,1.171
30.91,25.12,30.27,13.7,3.207,2486.664,2195.911,1.128
31.52,26.4,26.43,15.65,2.841,2725.687,2432.416,1.239
31.3,26.63,25.98,16.09,2.844,2777.076,2484.713,1.229
29.37,26.26,29.42,14.95,3.423,2702.497,2418.101,1.101
28.19,25.73,30.77,15.31,2.982,2673.185,2393.659,1.132
27.24,25.99,30.32,16.45,3.495,2795.06,2519.457,1.181
26.71,26.78,31.01,15.5,2.878,2723.293,2449.877,1.192
27.34,26.59,30.55,15.52,2.984,2741.937,2465.921,1.182
29.17,24.67,32.42,13.74,2.786,2445.961,2162.39,1.094
31.72,27.11,26.21,14.96,3.338,2776.949,2482.853,1.128
30.52,26.15,28.92,14.41,2.786,2583.432,2294.289,1.175
30.52,26.05,28.87,14.56,2.788,2602.274,2313.13,1.14
31.95,25.96,26.5,15.59,3.071,2763.648,2468.602,1.178
32.34,26.69,24.77,16.2,3.063,2868.259,2571.603,1.208
31.93,26.72,25.44,15.91,3.122,2859.088,2564.125,1.195
29.84,26.49,25.66,18.01,3.453,3011.796,2725.46,1.225
30.67,25.59,29.9,13.84,3.123,2534.312,2244.55,1.087
31.03,26.27,27.15,15.55,2.896,2740.158,2448.909,1.183
29.03,27.87,27.36,15.74,3.139,2863.309,2580.316,1.224
25.76,24.81,35.55,13.88,3.077,2449.336,2179.842,1.033
31.68,26.38,26.02,15.92,2.749,2786.467,2492.536,1.228
30.98,26.99,26.03,16,3.106,2864.567,2573.525,1.188
29.99,26.98,27.05,15.98,3.363,2861.722,2574.766,1.173
30.15,26.5,26.68,16.67,3.071,2866.777,2579.161,1.211
30.02,27.05,25.56,17.37,3.119,2980.415,2693.335,1.264
31.78,24.63,29.71,13.88,2.855,2491.563,2197.219,1.108
32.04,25.67,27.2,15.09,2.981,2688.208,2392.79,1.175
32.49,25.44,26.65,15.42,2.942,2690.195,2392.919,1.15
32.27,26.16,26.19,15.38,2.974,2735.41,2439.043,1.276
32.25,25.75,27.32,14.68,3.047,2653.328,2357.043,1.064
31.36,25.98,27.66,15,3.232,2699.826,2407.215,1.355
31.59,24.65,28.25,15.51,3.049,2632.521,2338.961,1.152
31.57,25.72,28.27,14.44,3.115,2645.215,2351.737,1.156
32.55,24.33,29.13,13.99,2.822,2509.514,2211.991,1.097
32.82,25.38,27.3,14.5,2.953,2642.563,2343.926,1.337
30.48,26.87,26.67,15.98,2.84,2812.814,2523.836,1.442
31.12,25.81,28.52,14.55,2.739,2639.181,2347.561,1.366
29.61,26.25,29.41,14.73,3.11,2664.282,2378.896,1.336
29.1,27.27,27.87,15.76,2.954,2810.701,2527.419,1.431
31.06,26.87,27.16,14.91,3.265,2749.025,2457.653,1.337
29.35,25.44,28.7,16.51,3.364,2786.164,2501.85,1.357
29.56,25.45,27.76,17.23,3.393,2849.078,2563.897,1.363
30.14,25.65,30.96,13.25,2.953,2509.709,2222.135,1.305
30.07,26.13,28.61,15.19,3.046,2736.676,2449.391,1.355
30.56,24.18,31.76,13.5,3.23,2449.16,2159.851,1.051
31.86,26.29,24.29,17.56,3.583,2915.795,2621.12,1.29
31.29,25.45,29.61,13.65,2.9,2556.909,2264.587,1.073
30.07,24.97,30.7,14.26,3.151,2492.538,2205.252,1.096
30.2,26.96,26.75,16.09,3.691,2835.602,2547.78,1.159
30.88,26.67,26.57,15.88,3.421,2815.405,2524.776,1.221
29.16,23.07,32.18,15.59,3.184,2517.055,2233.526,1.132
31.09,25.51,26.07,17.33,3.896,2908.844,2617.348,1.128
30.15,22.36,32.17,15.32,3.013,2459.582,2171.966,1.033
28.44,25.11,31.93,14.52,3.146,2583.942,2303.385,1.054
28.94,25.05,30.96,15.05,3.143,2617.005,2334.383,1.095
30.69,25.94,29.76,13.61,3.036,2566.548,2276.703,1.085
30.59,25.14,28.8,15.47,3.199,2650.764,2361.332,1.16
31.79,25.49,28.62,14.1,2.737,2582.188,2287.803,1.141
29.56,26.16,29.37,14.91,3.181,2675.659,2390.479,1.097
29.95,26.49,28.09,15.47,3.18,2748.591,2461.801,1.185
27.77,25.32,33.65,13.26,3.009,2452.433,2174.641,1.245
29.75,25.25,30.88,14.12,2.95,2541.571,2255.606,1.108
31.22,26.02,27.17,15.59,3.062,2736.457,2444.424,1.177
30.19,24.57,30.64,14.6,2.868,2534.91,2247.129,1.093
32.08,27.15,27.05,13.72,3.14,2686.607,2391.024,1.098
30.46,25.57,28.47,15.5,2.979,2697.073,2408.177,1.147
32.23,28.24,23.63,15.9,3.482,2944.733,2648.531,1.349
31.4,25.59,28.43,14.58,3.015,2624.317,2331.541,1.311
30.5,26.8,27.23,15.47,2.989,2789.298,2500.237,1.179
30.39,26.79,27.63,15.19,3.056,2769.656,2481.049,1.189
30.54,24.18,30.73,14.55,3.237,2526.693,2237.468,1.089
29.77,25.35,28.96,15.92,2.978,2751.076,2465.029,1.175
29.7,25.66,28.14,16.5,2.962,2815.897,2530.139,1.202
27.42,24.63,32.28,15.67,3.101,2626.434,2350.088,1.182
28.49,24.45,30.3,16.76,2.87,2722.356,2441.593,1.186
30.37,23.5,30.27,15.86,2.767,2603.888,2315.364,1.151
27.95,23.32,29.76,18.97,3.142,2815.17,2536.635,1.281
31.08,24.45,26.66,17.81,2.886,2829.792,2538.337,1.239
29.45,24.38,29.89,16.28,3.128,2675.4,2390.674,1.171
28.8,25.34,27.83,18.03,2.986,2901.377,2619.334,1.425
30.01,23.67,31.12,15.2,3.177,2543.542,2256.504,1.19
30.27,24.47,28.4,16.86,2.746,2705.86,2417.749,1.196
29.83,24.84,28.09,17.24,2.881,2772.029,2485.734,1.34
30.91,24,28.27,16.82,2.709,2703.698,2412.945,0.998
30.13,21.57,33.04,15.26,2.702,2369.504,2081.97,1.023
33.41,22.99,28.52,15.08,2.561,2506.547,2205.475,1.139
32.21,23.78,27.55,16.46,2.728,2670.727,2374.608,1.202
32.6,23.46,27.85,16.09,2.764,2609.41,2311.68,1.284
28.64,24.27,31.17,15.92,2.776,2640.136,2358.753,1.47
29.34,22.42,33.24,15,2.578,2431.207,2146.934,1.148
29.23,24.15,30.19,16.43,2.743,2676.964,2393.146,1.258
29.7,24.65,27.67,17.98,2.677,2881.344,2595.586,1.174
30.06,23.66,28.98,17.3,2.655,2732.188,2444.943,1.202
31.82,23.73,28.8,15.65,2.8,2605.028,2310.518,1.221
31.24,24.7,27.93,16.13,2.854,2932.739,2640.623,1.092
30.53,26.08,27.98,15.41,2.834,2736.476,2447.292,1.123
26.89,26.63,32.28,14.2,2.898,2646.809,2372.65,1.295
29.37,25.8,29.52,15.31,2.784,2700.413,2416.016,0.998
28.58,26.76,29.63,15.03,2.663,2736.167,2455.032,1.254
30.07,26.32,28.25,15.36,2.871,2723.422,2436.136,1.082
27.36,28.25,28.74,15.65,3.276,2889.26,2613.161,1.121
29.86,25.67,29.08,15.39,2.926,2681.774,2395.356,1.206
25.76,29.67,29.11,15.46,3.687,3023.448,2753.954,1.154
30.39,24.68,30.3,14.63,2.93,2588.152,2299.546,1.101
26.24,26.25,29.49,18.02,3.727,2974.991,2703.515,1.116
31.38,27.01,24.7,16.91,3.101,2967.149,2674.456,1.175
31.68,26.68,24.18,17.46,3.156,2990.586,2696.654,1.191
28.52,25.85,29.16,16.47,3.156,2819.368,2538.48,1.081
27.87,26.8,28.72,16.61,3.218,2899.08,2620.875,1.16
28.82,25.41,31.33,14.44,2.963,2558.91,2276.785,1.495
26.97,26.42,30.79,15.82,2.909,2747.032,2472.543,1.493
29.09,27.04,29.17,14.7,2.812,2704.832,2421.592,1.438
27.85,26.89,31.37,13.89,3.285,2606.817,2328.695,1.435
27.08,28.19,30.37,14.36,3.628,2747.285,2472.342,1.464
29.08,29,27.89,14.03,3.06,2818.119,2534.919,1.132
28.02,25.9,33.34,12.74,2.798,2484.965,2206.142,1.138
28.76,27.1,30.62,13.52,2.805,2622.504,2340.626,1.104
29.37,26.41,30.09,14.13,2.77,2610.061,2325.665,1.1
29.47,27.5,27.86,15.17,2.739,2781.307,2496.498,1.162
27.95,25.57,33.24,13.24,2.681,2476.215,2197.68,1.081
26.64,29.28,31.7,12.38,3.432,2666.519,2393.392,1.087
28.34,26.9,30.86,13.9,2.547,2578.781,2298.637,1.129
27.93,27.07,30.62,14.38,2.713,2692.639,2414.187,1.026
28.05,27.33,29.79,14.83,2.722,2743.243,2464.296,1.054
29.49,26.48,31.44,12.59,2.898,2514.177,2229.286,0.953
29.75,23.57,31.81,14.87,2.853,2525.855,2239.89,0.937
28.33,24.2,32.29,15.18,2.873,2587.104,2307.001,0.954
30.06,25.5,29.76,14.68,2.827,2629.504,2342.26,1.339
28.64,25.57,29.78,16.01,3.175,2765.748,2484.365,1.416
29.68,24.44,33.13,12.75,2.874,2379.498,2093.822,1.398
29.8,25.67,31.64,12.89,2.611,2485.157,2198.986,1.466
28.67,25.17,33.23,12.93,2.496,2425.491,2143.985,0.936
28.57,24.88,33.27,13.28,2.451,2424.276,2143.182,0.946
27.65,26.54,32.47,13.34,2.847,2561.35,2284.054,0.969
28.57,27.04,31.65,12.74,2.764,2545.001,2263.907,0.974
29.11,25.91,30.13,14.85,2.723,2666.498,2383.176,1.222
29.25,26.79,29.4,14.56,2.825,2725.764,2441.863,1.292
30.14,25.65,30.13,14.08,2.672,2567.305,2279.73,1.181
29.68,26.51,31.42,12.39,2.583,2448.253,2162.577,0.938
29.91,26.27,29.83,13.99,2.612,2594.91,2308.285,0.966
29.84,27.04,29.79,13.33,2.541,2583.849,2297.513,0.943
29.68,25.65,31.94,12.73,2.615,2472.018,2186.342,0.937
29.07,24.99,33.34,12.6,2.735,2385.98,2102.822,0.926
29.22,26.24,29.79,14.75,2.688,2685.355,2401.578,0.973
28.86,26.79,29.87,14.48,2.675,2708.887,2426.596,1.015
29.53,26.65,28.75,15.07,2.744,2734.07,2449.013,1.02
30.02,26.77,28.25,14.96,2.696,2745.049,2457.969,1.008
29.75,24.52,33.06,12.67,2.734,2385.853,2099.888,0.903
29.24,26.42,30.71,13.63,2.792,2594.015,2310.156,0.977
29.51,26.4,30.91,13.18,2.519,2568.654,2283.68,0.986
28.78,26.39,31.3,13.53,2.529,2581.408,2299.448,0.981
31.68,28.67,23.33,16.32,2.589,2926.326,2632.395,1.454
32.81,28.08,22.13,16.98,2.669,2974.894,2676.298,1.369
32.09,28.67,25.05,14.19,2.891,2718.707,2423.083,1.262
32.16,29.36,22.97,15.51,2.347,2769.712,2473.799,1.261
30.04,25.22,31.22,13.52,2.709,2500.505,2213.343,0.938
29.05,26.79,30.28,13.88,2.73,2637.61,2354.534,0.958
29.36,27.19,29.63,13.82,2.735,2662.472,2378.117,0.993
28.95,25.53,32.67,12.85,2.562,2447.807,2165.145,0.926
29.93,26.05,29.16,14.86,2.585,2689.46,2402.753,1.011
28.95,26.41,29.86,14.78,2.713,2699.739,2417.076,1.021
29.79,26.56,29.54,14.11,2.801,2605.336,2319.206,0.954
30.33,27.32,28.2,14.15,2.619,2562.721,2274.362,0.904
30.38,26.43,30.02,13.17,2.323,2546.607,2258.041,0.929
29.73,26.48,29.3,14.49,2.369,2652.615,2366.733,0.979
30.66,24.83,30.81,13.7,2.837,2469.77,2180.049,0.893
31.52,26.41,26.11,15.96,2.829,2804.686,2511.415,0.987
31.12,25.89,28.32,14.67,2.754,2670.564,2378.944,0.977
31.96,25.28,28.51,14.25,2.73,2572.633,2277.545,0.897
30.26,26.12,29.48,14.14,2.667,2620.135,2332.065,1.064
30.96,27.1,28.85,13.09,2.884,2587.437,2296.478,1.02
30.29,27.47,25.95,16.29,2.859,2904.372,2616.179,1.148
30.75,27.27,25.85,16.13,2.903,2870.786,2580.693,1.143
30.22,25.37,29.03,15.38,2.783,2663.026,2375.121,1.079
32.82,28.08,21.44,17.66,2.06,2959.764,2661.127,1.21
29.26,26.87,28.74,15.13,2.703,2745.041,2461.099,1.118
29.82,25.4,28.06,16.72,2.91,2792.405,2506.152,0.958
29.72,25.44,27.92,16.92,2.886,2818.954,2533.113,0.952
29.25,25.06,31.22,14.47,2.859,2585.191,2301.29,0.882
29.66,25.18,30.21,14.95,2.905,2628.26,2342.667,0.875
29.7,25.22,30.04,15.04,2.942,2642.427,2356.668,0.881
29.39,24.95,32.2,13.46,2.906,2462.472,2177.993,1.025
29.88,24.69,31.06,14.37,2.721,2531.633,2245.132,1.062
28.88,26.07,29.59,15.46,2.96,2754.861,2472.488,1.061
29.21,27.32,26,17.47,3.08,3020.201,2736.465,1.144
29.18,26.65,27.74,16.43,3.019,2883.514,2599.902,1.099
29.38,24.89,31.6,14.13,2.795,2507.264,2222.826,1.038
32.2,28.4,21.17,18.23,2.096,3000.345,2704.267,1.248
30.9,27.24,27.07,14.79,2.706,2716.734,2426.022,1.064
29.3,27.15,26.24,17.31,2.761,2922.224,2638.117,1.202
28.79,27.28,29.56,14.37,2.615,2724.425,2442.423,1.087
28.3,27.48,30.1,14.12,2.643,2678.348,2398.369,1.081
29.81,26.03,28.57,15.59,2.829,2699.585,2413.372,1.133
31.78,28.4,21.47,18.35,2.109,2995.124,2700.78,1.209
29.23,26.41,28.93,15.43,2.812,2730.193,2446.375,1.135
28.34,25.58,30.72,15.36,2.487,2641.273,2361.129,1.094
29.9,29.28,20.94,19.88,2.146,3149.582,2862.998,1.232
29.89,26,31.68,12.43,3.017,2424.855,2138.312,0.994
27.99,27.12,29.89,15,2.768,2723.474,2444.774,1.128
28.14,26.97,29.62,15.27,2.702,2723.689,2444.371,1.132
29.79,27.47,27.38,15.36,3.052,2803.945,2517.815,1.056
27.54,27.2,31.22,14.04,2.719,2673.563,2396.721,1.051
27.64,26.99,30.51,14.86,2.792,2726.141,2448.886,1.063
29.04,25.43,31.33,14.2,2.551,2527.587,2244.553,1.009
29.09,26.77,30.02,14.12,2.679,2612.294,2329.053,1.012
29.36,26.69,28.59,15.36,2.617,2710.635,2426.28,1.033
27.82,27.2,29.64,15.34,3.476,2780.045,2502.047,1.031
28.41,26.97,28.29,16.33,2.785,2882.676,2602.242,1.079
27.32,27.01,29.78,15.89,2.83,2849.787,2573.853,1.143
28.96,26.94,30.56,13.54,2.554,2582.373,2299.67,1.032
28.88,27.5,27.5,16.12,2.999,2901.357,2618.983,1.084
27.99,28,28.23,15.78,3.14,2902.506,2623.806,1.1
25.63,30.2,28.44,15.73,2.957,2941.271,2672.313,1.092
28.02,28.1,27.6,16.28,2.829,2901.651,2622.827,1.1
26.93,28.66,27.49,16.92,2.87,2990.145,2715.821,1.141
28.75,27.88,27.57,15.8,2.773,2847.15,2565.313,1.113
26.94,26.5,31.18,15.38,2.574,2750.55,2476.184,1.074
27.08,26.89,30.23,15.8,2.852,2819.569,2544.625,1.083
27.22,26.56,30.86,15.36,2.869,2730.679,2455.158,1.064
26.46,26.71,30.8,16.03,2.98,2743.46,2471.076,1.059
26.02,26.7,32.02,15.26,2.924,2676.671,2406.104,1.048
26.89,27.55,30.46,15.1,2.896,2765.222,2491.063,1.079
27.75,26.54,29.61,16.1,2.928,2792.692,2514.983,1.036
27.77,29.46,28.97,13.8,3.445,2807.356,2529.564,1.038
26.46,27.26,30.2,16.08,2.791,2811.58,2539.196,1.08
26.65,26.87,29.75,16.73,2.691,2844.327,2571.159,1.111
29.48,25.44,30.68,14.4,2.625,2521.172,2236.322,1.005
28.35,24.78,31.86,15.01,2.547,2507.258,2227.072,1.014
28.41,25.12,31.39,15.08,2.592,2540.513,2260.08,1.033
29.69,25.34,32.66,12.31,2.355,2367.836,2082.119,0.934
30.62,26.14,30.74,12.5,2.793,2424.765,2135.209,0.937
28.7,26.92,30.33,14.05,2.543,2610.303,2328.672,1.022
30.07,26.63,29.19,14.11,2.525,2593.084,2305.799,1.028
28.84,26.1,28.68,16.38,2.45,2739.337,2457.129,1.148
30.48,27.33,29.6,12.59,2.876,2537.842,2248.864,1.002
29.32,26.3,28.55,15.83,2.67,2737.319,2453.129,1.088
28.28,27.11,28.12,16.49,2.773,2846.04,2566.143,1.118
29.17,26.05,29.54,15.24,2.35,2639.878,2356.307,1.052
30.4,27.52,26.94,15.14,2.788,2716.203,2427.555,1.041
28.98,27.21,27.16,16.65,2.56,2855.121,2572.335,1.107
28.89,27.1,27.51,16.5,2.649,2835.681,2553.267,1.091
28.04,27.2,28.71,16.05,2.896,2839.104,2560.198,1.052
26.65,26.71,32.78,13.86,2.6,2590.443,2317.275,1.06
26.39,26.99,31.16,15.46,2.679,2739.266,2467.171,1.095
28.11,24.81,30.48,16.6,2.522,2688.222,2409.027,1.089
28.35,25.09,29.8,16.76,2.526,2663.825,2383.64,1.058
28.06,25.65,29.1,17.19,2.552,2756.047,2477.058,1.079
28.43,27.65,27.19,16.73,2.627,2874.371,2593.855,1.136
28.42,28.09,26.57,16.92,2.737,2935.618,2655.144,1.142
30.34,27.2,26.86,15.6,2.524,2782.881,2494.481,1.106
29.7,28.32,25.8,16.18,2.609,2886.813,2601.054,1.114
28.23,26.16,33.2,12.41,2.696,2451.142,2171.452,1.082
29.48,27.58,28.79,14.15,2.83,2691.512,2406.662,0.998
28.7,27.04,28.09,16.17,2.561,2817.34,2535.71,1.062
30.03,24.76,30.92,14.29,2.438,2515.02,2227.9,0.974
30.96,26.58,27.67,14.79,2.495,2682.527,2391.568,1.048
28.68,27.62,26.7,17,2.704,2893.527,2611.98,1.12
29.57,27.54,26.61,16.28,2.619,2841.069,2555.847,1.094
30.05,26.11,29.41,14.43,2.387,2619.177,2331.974,0.992
29.81,26.84,26.33,17.02,2.541,2914.275,2628.063,1.079
29.76,27.28,27.19,15.77,2.576,2820.782,2534.776,1.045
30.39,27.35,26.88,15.38,2.635,2767.495,2478.888,1.07
30.03,27.36,26.35,16.26,2.452,2791.235,2504.114,1.134
28.76,27.47,26.57,17.2,2.495,2900.253,2618.375,1.16
28.98,27.62,27.44,15.96,2.84,2817.03,2534.244,1.069
